-58,192
-398,148
391,-43
-279,-227
-429,-229
-409,-241
198,-96
-344,273
-490,281
-81,221
22,-217
-250,278
-414,-22
-295,103
-10,117
-412,-104
188,-94
217,-102
150,215
319,-162
280,-262
-425,96
386,-263
41,90
141,-91
-41,-146
427,80
-40,59
-436,-76
432,-283
-123,-226
357,-58
332,67
-123,-247
346,289
175,-79
-232,-191
479,173
-186,291
14,126
7,148
153,276
-119,276
-160,-2
364,194
146,105
488,-60
175,163
-132,-55
198,17
-500,-214
-7,197
131,-104
-203,52
241,-89
102,119
159,4
67,-57
113,107
470,247
482,21
-321,37
14,7
-135,225
468,86
-68,161
84,138
461,-36
-432,-248
395,-163
220,-267
-181,-245
-414,263
103,-289
-358,-26
146,213
-408,-285
159,215
-400,-240
-374,-258
-90,-151
-337,-206
-103,-23
-285,-196
455,208
-32,-230
-441,123
-108,147
155,292
259,107
13,68
-156,89
3,31
82,-88
-282,-122
180,83
143,138
40,-4
-5,-240
107,254
41,176
275,-279
89,-93
497,287
-96,-236
369,229
-207,-186
-476,155
-26,-66
8,8
95,138
-306,-296
-471,34
309,-185
-77,6
437,138
-482,-23
-322,-260
435,276
26,-242
-255,166
328,275
-425,-142
-406,43
-441,34
330,278
-285,-261
-216,12
-468,-72
-449,234
321,196
489,264
-51,178
368,-263
244,279
87,130
-1,98
400,-250
206,-285
447,-159
62,122
38,76
123,249
50,-263
96,-139
-90,-257
-452,-128
495,-272
271,-245
137,-199
-347,-5
272,-79
-374,169
-87,94
327,22
153,284
124,-170
-275,-280
-417,-244
-228,93
-36,-289
435,100
-243,-196
368,-23
363,-268
-391,-117
358,-104
317,276
-239,34
26,-253
-166,149
-231,-66
-439,-129
48,-101
222,285
215,-287
360,208
-68,298
-413,-8
306,148
210,-90
472,209
310,150
478,-13
-355,293
269,-276
182,-145
-200,69
-404,100
-275,-227
-183,283
-143,221
-387,-208
-421,201
7,-6
-113,297
-493,-32
14,73
485,-114
-309,-130
-307,-278
466,-294
316,-300
-268,-14
-442,253
-386,-162
-456,-73
91,288
-309,-259
383,-55
241,-236
205,64
287,163
123,-28
-347,231
-355,-44
-270,-22
-193,245
203,37
-33,-195
-282,43
-366,-11
